"","x"
"Dnig.1LG0015860.1",13
"Dnig.1LG0015880.1",8
"Dnig.1LG0015890.1",12
"Dnig.1LG0015910.1",1
"Dnig.1LG0015920.1",12
"Dnig.1LG0015970.1",6
"Dnig.1LG0015980.1",16
"Dnig.1LG0015990.1",16
"Dnig.1LG0016000.1",10
"Dnig.1LG0016010.1",4
"Dnig.1LG0016020.1",18
"Dnig.1LG0016030.1",20
"Dnig.1LG0016050.1",8
"Dnig.1LG0016060.1",11
"Dnig.1LG0016090.1",11
"Dnig.1LG0016100.1",6
"Dnig.1LG0016110.1",16
"Dnig.1LG0016150.1",4
"Dnig.1LG0016180.1",4
"Dnig.1LG0016200.1",15
"Dnig.1LG0016210.1",11
"Dnig.1LG0016230.1",5
"Dnig.1LG0016240.1",7
"Dnig.1LG0016350.1",14
"Dnig.1LG0016420.1",5
"Dnig.1LG0016440.1",20
"Dnig.1LG0016470.1",2
"Dnig.1LG0016480.1",9
"Dnig.1LG0016490.1",3
"Dnig.1LG0016550.1",7
"Dnig.1LG0016560.1",2
"Dnig.1LG0016570.1",12
"Dnig.1LG0016650.1",20
"Dnig.1LG0016700.1",3
"Dnig.1LG0016710.1",16
"Dnig.1LG0016720.1",1
"Dnig.1LG0016790.1",11
"Dnig.1LG0016800.1",13
"Dnig.1LG0016810.1",10
"Dnig.1LG0016820.1",14
"Dnig.1LG0016830.1",16
"Dnig.1LG0016840.1",6
"Dnig.1LG0016850.1",4
"Dnig.1LG0016870.1",19
"Dnig.1LG0016880.1",18
"Dnig.1LG0016890.1",18
"Dnig.1LG0016910.1",9
"Dnig.1LG0016930.1",16
"Dnig.1LG0016940.1",16
"Dnig.1LG0016950.1",13
"Dnig.1LG0016960.1",8
"Dnig.1LG0016970.1",13
"Dnig.1LG0016980.1",2
"Dnig.1LG0016990.1",12
"Dnig.1LG0017000.1",17
"Dnig.1LG0017010.1",17
"Dnig.1LG0017020.1",12
"Dnig.1LG0017030.1",19
"Dnig.1LG0017040.1",10
"Dnig.1LG0017050.1",20
"Dnig.1LG0017060.1",13
"Dnig.1LG0017070.1",16
"Dnig.1LG0017100.1",16
"Dnig.1LG0017110.1",14
"Dnig.1LG0017120.1",3
"Dnig.1LG0017130.1",10
"Dnig.1LG0017140.1",14
"Dnig.1LG0017150.1",15
"Dnig.1LG0017160.1",1
"Dnig.1LG0017170.1",7
"Dnig.1LG0017180.1",5
"Dnig.1LG0017190.1",8
"Dnig.1LG0017200.1",7
"Dnig.1LG0017210.1",2
"Dnig.1LG0017220.1",7
"Dnig.1LG0017240.1",6
"Dnig.1LG0017250.1",13
"Dnig.1LG0017260.1",1
"Dnig.1LG0017280.1",2
"Dnig.1LG0017330.1",3
"Dnig.1LG0017380.1",11
"Dnig.1LG0017400.1",8
"Dnig.1LG0017410.1",13
"Dnig.1LG0017420.1",15
"Dnig.1LG0017450.1",2
"Dnig.1LG0017460.1",11
"Dnig.1LG0017470.1",14
"Dnig.1LG0017480.1",10
"Dnig.1LG0017490.1",1
"Dnig.1LG0017510.1",13
"Dnig.1LG0017520.1",3
"Dnig.1LG0017530.1",7
"Dnig.1LG0017540.1",4
"Dnig.1LG0017550.1",20
"Dnig.1LG0017600.1",12
"Dnig.1LG0017610.1",10
"Dnig.1LG0017620.1",5
"Dnig.1LG0017630.1",15
"Dnig.1LG0017670.1",16
"Dnig.1LG0017730.1",20
"Dnig.1LG0017740.1",20
"Dnig.1LG0017750.1",15
"Dnig.1LG0017790.1",2
"Dnig.1LG0017800.1",12
"Dnig.1LG0017860.1",9
"Dnig.1LG0017880.1",17
"Dnig.1LG0017890.1",15
"Dnig.1LG0017910.1",11
"Dnig.1LG0017930.1",17
